pais;prod_2005_kbd;prod_2015_kbd;prod_2025_kbd;delta_20anos_kbd;delta_10anos_kbd
United States;8327;15155;23612;15285;8457
Canada;3202;4494;6257;3054;1763
Brazil;1757;3170;4655;2898;1485
Iraq;1833;4123;4500;2667;377
China;3856;5103;5446;1590;343
United Arab Emirates;3004;3676;4339;1336;663
Russia;9647;11035;10535;888;-500
Kazakhstan;1297;1751;2150;853;399
Guyana;0;0;747;747;747
Qatar;1228;1863;1878;651;16
Iran;4199;3556;4769;570;1213
Saudi Arabia;10933;11763;11214;281;-549
Kuwait;2561;3060;2805;244;-255
Colombia;539;1034;777;238;-257
Oman;775;989;1011;236;22
Ghana;7;103;186;179;83
India;833;1015;990;158;-24
Argentina;830;705;984;153;278
Azerbaijan;450;854;567;117;-288
Niger;0;14;102;102;87
Turkiye;46;61;143;97;81
South Korea;17;82;111;94;29
Thailand;309;514;396;87;-119
Turkmenistan;211;278;275;64;-3
Germany;146;186;186;40;-1
France;85;123;106;21;-17
Peru;117;155;123;6;-31
Congo-Brazzaville;246;245;249;3;4
Bahrain;201;216;189;-12;-28
Italy;161;181;137;-24;-44
Japan;129;111;103;-26;-8
Egypt;642;717;613;-29;-105
Gabon;270;213;239;-31;26
Chad;170;123;126;-44;3
Romania;125;100;70;-55;-30
Ecuador;535;548;443;-91;-105
Brunei;206;127;110;-96;-17
Trinidad and Tobago;171;109;72;-99;-38
Uzbekistan;166;67;50;-116;-18
South Africa;223;121;95;-128;-26
Vietnam;371;369;199;-172;-170
Malaysia;791;711;604;-187;-107
Angola;1247;1828;1059;-188;-769
Australia;581;396;363;-217;-33
Indonesia;1100;862;853;-247;-9
Sudan;308;111;32;-276;-79
Equatorial Guinea;380;268;84;-296;-184
Denmark;392;162;79;-312;-82
Libya;1721;493;1382;-339;889
Syria;445;25;81;-363;56
Yemen;445;36;15;-430;-20
Algeria;1930;1798;1404;-526;-394
Nigeria;2549;2234;1675;-874;-559
Norway;2972;1952;2052;-920;99
United Kingdom;1902;1009;769;-1134;-241
Mexico;3790;2616;1869;-1920;-746
Venezuela;3113;2577;1012;-2102;-1566
